queried_sp_name,key,canonicalName,rank
Phacelia secunda,7316195,Phacelia secunda,SPECIES
Phacelia secunda,3611801,Phacelia secunda plantaginea,SUBSPECIES
Phacelia secunda,7316197,Phacelia secunda secunda,VARIETY
Phacelia secunda,3611809,Phacelia secunda pinnata,VARIETY
Phacelia secunda,6420947,Phacelia secunda pinnata,SUBSPECIES
Phacelia secunda,3611826,Phacelia secunda parviflora,SUBSPECIES
Cerastium arvense,7644543,Cerastium arvense,SPECIES
Cerastium arvense,9113461,Cerastium arvense,SPECIES
Cerastium arvense,3085433,Cerastium arvense,SPECIES
Cerastium arvense,7394108,Cerastium arvense maximum,SUBSPECIES
Cerastium arvense,8345003,Cerastium arvense rigidum,SUBSPECIES
Cerastium arvense,7952851,Cerastium arvense ciliatum,SUBSPECIES
Cerastium arvense,7549316,Cerastium arvense calcicola,SUBSPECIES
Cerastium arvense,8264783,Cerastium arvense velutinum,SUBSPECIES
Cerastium arvense,9276469,Cerastium arvense lineare,SUBSPECIES
Cerastium arvense,9482762,Cerastium arvense stenopetalum,SUBSPECIES
Sisyrinchium junceum,7640131,Sisyrinchium junceum,SPECIES
Sisyrinchium junceum,5297549,Sisyrinchium junceum,SPECIES
Sisyrinchium junceum,6310530,Sisyrinchium junceum colchaguense,SUBSPECIES
Sisyrinchium junceum,5297541,Sisyrinchium junceum rudis,VARIETY
Sisyrinchium junceum,5297535,Sisyrinchium junceum depauperatum,SUBSPECIES
Sisyrinchium junceum,5297545,Sisyrinchium junceum scabrum,VARIETY
Sisyrinchium junceum,5297520,Sisyrinchium junceum lainezii,SUBSPECIES
Sisyrinchium junceum,5297522,Sisyrinchium junceum filifolium,SUBSPECIES
Sisyrinchium junceum,5297561,Sisyrinchium junceum asperulum,VARIETY
Sisyrinchium junceum,5297554,Sisyrinchium junceum gracile,VARIETY
Erodium cicutarium,2891620,Erodium cicutarium,SPECIES
Erodium cicutarium,9270818,Erodium cicutarium,SPECIES
Erodium cicutarium,9580340,Erodium cicutarium,SPECIES
Erodium cicutarium,9485490,Erodium cicutarium,SPECIES
Erodium cicutarium,9627666,Erodium cicutarium,SPECIES
Erodium cicutarium,9407475,Erodium cicutarium lebelii,SUBSPECIES
Erodium cicutarium,8266358,Erodium cicutarium primulaceum,SUBSPECIES
Erodium cicutarium,3828102,Erodium cicutarium ontigolanum,SUBSPECIES
Erodium cicutarium,7557222,Erodium cicutarium salzmannii,SUBSPECIES
Erodium cicutarium,8714227,Erodium cicutarium bipinnatum,SUBSPECIES
Discaria nana,7273764,Discaria nana,SPECIES
Discaria nana,8909356,Discaria nana inermis,FORM
Discaria nana,5602832,Discaria nana prostrata,VARIETY
Discaria nana,7273765,Discaria nana nana,VARIETY
Discaria nana,9743083,Discaria nana ar,VARIETY
Discaria nana,8735421,Discaria nana nana,FORM
Discaria nana,5603073,Discaria nana inermis,VARIETY
Discaria nana,5603081,Discaria nana spinosa,VARIETY
