queried_sp_name,sp_name,itis,itis_reason,itis_tsn,gnr_score,gnr_source
Senecio bustillosianus,Senecio bustillosianus,NA,NA,NA,0.988,CU*STAR
Stachys albi,Stachys albi,NA,NA,NA,NA,NA
Stachys albi,Stachys alba,NA,NA,NA,0.75,Catalogue of Life
Adesmia conferta,Adesmia conferta,NA,NA,NA,0.988,EOL
Calandrinia affinis,Calandrinia affinis,NA,NA,NA,0.988,NCBI
Senecio erucaeformis,Senecio erucaeformis,NA,NA,NA,0.988,uBio NameBank
Astragalus curvicaulis,Astragalus curvicaulis,NA,NA,NA,0.988,NCBI
Chaetanthera euphrasioides,Chaetanthera euphrasioides,NA,NA,NA,0.988,NCBI
Adesmia radicifolia,Adesmia radicifolia,NA,NA,NA,0.988,EOL
Mulinum spinosum,Mulinum spinosum,NA,NA,NA,0.988,Union 4
Sisyrinchium arenarium,Sisyrinchium arenarium,NA,NA,NA,0.988,NCBI
Chuquiraga oppositifolia,Chuquiraga oppositifolia,NA,NA,NA,0.988,NCBI
Scypanthus elegans,Scypanthus elegans,NA,NA,NA,NA,NA
Scypanthus elegans,Scyphanthus elegans,NA,NA,NA,0.75,Catalogue of Life
Senecio francisci,Senecio francisci,NA,NA,NA,0.988,uBio NameBank
Verbena scoparia,Verbena scoparia,NA,NA,NA,0.988,uBio NameBank
Adesmia aconcaguensis,Adesmia aconcaguensis,NA,NA,NA,0.988,EOL
Berberis empetrifolia,Berberis empetrifolia,NA,NA,NA,0.988,NCBI
Calandrinia uspallatensis,Calandrinia uspallatensis,NA,NA,NA,0.988,uBio NameBank
Cerastium arvense,Cerastium arvense,accepted,NA,19947,0.988,Catalogue of Life
Haplopappus sericeus,Haplopappus sericeus,NA,NA,NA,0.988,CU*STAR
Mustisia sinuata,Mustisia sinuata,NA,NA,NA,NA,NA
Mustisia sinuata,Mutisia sinuata,NA,NA,NA,0.75,Catalogue of Life
Adesmia brachy,Adesmia brachy,NA,NA,NA,NA,NA
Adesmia brachy,Adesmia,accepted,NA,819577,0.75,Catalogue of Life
Alstroemeria pallida,Alstroemeria pallida,NA,NA,NA,0.988,NCBI
Euphorbia portulacoides,Euphorbia portulacoides,accepted,NA,1025999,0.988,NCBI
Madia sativa,Madia sativa,accepted,NA,38040,0.988,NCBI
Nassauvia heterophylla,Nassauvia heterophylla,NA,NA,NA,0.988,NCBI
Perezia carthamoides,Perezia carthamoides,NA,NA,NA,0.988,NCBI
Sisyrinchium junceum,Sisyrinchium junceum,NA,NA,NA,0.988,uBio NameBank
Anarthrophyllum cumingii,Anarthrophyllum cumingii,NA,NA,NA,0.988,NCBI
Loasa heterophylla,Loasa heterophylla,NA,NA,NA,0.988,NCBI
Quinchamalium chilensis,Quinchamalium chilensis,NA,NA,NA,NA,NA
Quinchamalium chilensis,Quinchamalium chilense,NA,NA,NA,0.75,Catalogue of Life
Sanicula graveolens,Sanicula graveolens,accepted,NA,29852,0.988,NCBI
Sisyrinchium philippii,Sisyrinchium philippii,NA,NA,NA,0.988,uBio NameBank
Adesmia exilis,Adesmia exilis,NA,NA,NA,0.988,NCBI
