original_sp_name,accepted_sp_name
Phacelia secunda,Phacelia secunda
Senecio bustillosianus,Senecio bustillosianus
Stachys albi,Stachys albi
Adesmia conferta,Adesmia conferta
Calandrinia affinis,Calandrinia affinis
Senecio erucaeformis,Senecio erucaeformis
Astragalus curvicaulis,Astragalus curvicaulis
Chaetanthera euphrasioides,Chaetanthera euphrasioides
Adesmia radicifolia,Adesmia radicifolia
Mulinum spinosum,Mulinum spinosum
Sisyrinchium arenarium,Sisyrinchium arenarium
Chuquiraga oppositifolia,Chuquiraga oppositifolia
Scypanthus elegans,Scypanthus elegans
Senecio francisci,Senecio francisci
Verbena scoparia,Verbena scoparia
Adesmia aconcaguensis,Adesmia aconcaguensis
Berberis empetrifolia,Berberis empetrifolia
Calandrinia uspallatensis,Calandrinia uspallatensis
Cerastium arvense,Cerastium arvense
Haplopappus sericeus,Haplopappus sericeus
Hypochoeris sp1 M_PL_001,Hypochoeris sp1 M_PL_001
Mustisia sinuata,Mustisia sinuata
Adesmia brachy,Adesmia brachy
Alstroemeria pallida,Alstroemeria pallida
Astragalus sp1 M_PL_001,Astragalus sp1 M_PL_001
Euphorbia portulacoides,Euphorbia portulacoides
Madia sativa,Madia sativa
Nassauvia heterophylla,Nassauvia heterophylla
Perezia carthamoides,Perezia carthamoides
Sisyrinchium junceum,Sisyrinchium junceum
Anarthrophyllum cumingii,Anarthrophyllum cumingii
Loasa heterophylla,Loasa heterophylla
Quinchamalium chilensis,Quinchamalium chilensis
Sanicula graveolens,Sanicula graveolens
Sisyrinchium philippii,Sisyrinchium philippii
Adesmia exilis,Adesmia exilis
Bowlesia tropaeolifolia,Bowlesia tropaeolifolia
Calceolaria montana,Calceolaria montana
Chaetanthera microphylla,Chaetanthera microphylla
Haplopappus chysanthemifolius,Haplopappus chysanthemifolius
Leucocoryne pauciflora,Leucocoryne pauciflora
Mustisia acerosa,Mustisia acerosa
Mustisia subulata,Mustisia subulata
Oxalis cinerea,Oxalis cinerea
Oxalis geminata,Oxalis geminata
Oxalis sp1 M_PL_001,Oxalis sp1 M_PL_001
Schizanthus grahamii,Schizanthus grahamii
Senecio lithostaurus,Senecio lithostaurus
Valeriana gracileps,Valeriana gracileps
Asteriscium aemocarpon,Asteriscium aemocarpon
Berberis montana,Berberis montana
Erodium cicutarium,Erodium cicutarium
Leuceria landbeckii,Leuceria landbeckii
Nardophyllum lanatum,Nardophyllum lanatum
Rhodophiala montana,Rhodophiala montana
Trichocereus chiloensis,Echinopsis chiloensis
Tropaeolum sessilifolium,Tropaeolum sessilifolium
Viviania marifolia,Viviania marifolia
Acaena pinn,Acaena pinn
Adesmia montana,Dilomilis montana
Barneoudia chilensis,Barneoudia chilensis
Calceolaria arac,Calceolaria arac
Calceolaria biflora,Calceolaria biflora
Calceolaria indet,Calceolaria indet
Cardamine nivalis,Cardamine nivalis
Clarkia tenella,Clarkia tenella
Collomia biflora,Collomia biflora
Cynoglossum sp1 M_PL_001,Cynoglossum sp1 M_PL_001
Hippeastrum uni,Hippeastrum uni
Lathyrus subandinus,Lathyrus subandinus
Lepidium suffruticosum,Lepidium suffruticosum
Leucocoryne ixioides,Leucocoryne ixioides
Loasa sigmoidea,Loasa sigmoidea
Lupinus microcarpus,Lupinus subvexus var. subvexus
